case_id,pair,tier,session_a,session_b,mcu_count_a,mcu_count_b,mcu_count_variance,backbone_overlap_range,void_coverage_range,residual_localization,temporal_dependency_preservation_range,judgment,drift_interpretation,comparison_basis,deposited_output_basis,notes
CaseB,W1_vs_W2,Tier A,W1,W2,40,39,2.5%,82%-88%,80%-86%,stable,82%-88%,PASS,not_applicable,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Near-deterministic replay preserves the main economic indicator chains. Backbone and VOID values are author-observed structural-coordinate ranges. W2 MCU count is recorded as 39.
CaseB,W3_vs_W1,Tier B,W3,W1,45,40,12.5%,55%-63%,58%-66%,partial,60%-68%,NOT_REPLAY_STABLE,SELECTIVE_PATH_DRIFT_WITH_QUOTA_COMPRESSION,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,W3 does not satisfy the Tier B replay-stable threshold. W3 shifts coverage across indicator chains under high MCU candidate density rather than showing structural recognition collapse.
