case_id,pair,tier,session_a,session_b,mcu_count_a,mcu_count_b,mcu_count_variance,backbone_overlap_range,void_coverage_range,collision_localization,judgment,comparison_basis,deposited_output_basis,language_note,notes
Doc834,W1_vs_W2,Tier A,W1,W2,26,21,19.23%,78%-84%,80%-88%,absolute_stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,"W2 shows relay compression but preserves core backbone, VOID regions, and collision coordinates. Backbone and VOID values are author-observed structural-coordinate ranges."
Doc834,W1_vs_W3,Tier A,W1,W3,26,25,3.85%,84%-88%,78%-84%,core_stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W3 count reflects corrected MCU-0025 obstruction-enhancement node. Backbone and VOID values are author-observed structural-coordinate ranges.
Doc834,W2_vs_W3,Tier A,W2,W3,21,25,16.00%,82%-86%,80%-84%,core_stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,"Pairwise MCU variance uses denominator=max(count_A,count_B). Backbone and VOID values are author-observed structural-coordinate ranges."
Doc834,W4_vs_W1,Tier B,W4,W1,22,26,15.38%,82%-86%,78%-84%,stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W4 is a compressed moderate-perturbation replay. Backbone and VOID values are author-observed structural-coordinate ranges.
Doc834,W5_vs_W1,Tier B,W5,W1,24,26,7.69%,88%-92%,84%-90%,stable,STRONG_PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W5 preserves several procedural VOID and collision regions with higher observed coverage than the Tier B threshold. Backbone and VOID values are author-observed structural-coordinate ranges.
Doc834,W6_vs_W1,Tier C,W6,W1,23,26,11.54%,72%-78%,70%-76%,regional_stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W6 shows phase-level regrouping and secondary VOID compression without boundary failure. Backbone and VOID values are author-observed structural-coordinate ranges.
Doc834,W7_vs_W1,Tier C,W7,W1,21,26,19.23%,78%-84%,76%-82%,regional_stable,STRONG_PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W7 preserves several high-value rule and procedure nodes under high perturbation. Backbone and VOID values are author-observed structural-coordinate ranges.
Doc834,W8_vs_W1,Tier C,W8,W1,22,26,15.38%,70%-76%,68%-74%,regional_stable,PASS,manual_structural_coordinate_review_over_deposited_outputs,heterogeneous_deposited_outputs_not_strict_jsonl,Chinese slot content under English canonical schema,W8 is the maximum-temperature replay in this observation set and retains the major structural observation patterns with secondary VOID compression. Backbone and VOID values are author-observed structural-coordinate ranges.
